DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Dissolved Bromide,24959-67-9,,0.193,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Dissolved Chloride,16887-00-6,,66.6,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Specific Conductance,0,,467,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Dissolved Nitrate,14797-55-8,,4.15,0.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Total Dissolved Solids,0,,264,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Dissolved Sulfate,14808-79-8,,38.9,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Field Specific Conductance,0,, 459,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Field pH,0,, 7.8,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Field Water Temperature,0,, 14,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Pacheco Pumping Plant,Pacheco PP,SL000000,SL0324B0052,03/19/2024 08:45,Field Turbidity,0,, 1.5,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Dissolved Bromide,24959-67-9,,0.127,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Dissolved Chloride,16887-00-6,,40.2,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Specific Conductance,0,,362,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Dissolved Nitrate,14797-55-8,,3.02,0.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Total Dissolved Solids,0,,210,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Total Suspended Solids,0,,3.9,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Dissolved Sulfate,14808-79-8,,38.6,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Field Specific Conductance,0,, 334,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Field pH,0,, 7.8,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Field Water Temperature,0,, 16,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SL0324B0050,03/19/2024 09:35,Field Turbidity,0,, 7.8,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Dissolved Bromide,24959-67-9,,0.132,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Dissolved Chloride,16887-00-6,,41.9,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Specific Conductance,0,,368,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Dissolved Nitrate,14797-55-8,,2.31,0.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Total Dissolved Solids,0,,210,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Total Suspended Solids,0,,4.2,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Dissolved Sulfate,14808-79-8,,36.2,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Field Specific Conductance,0,, 361,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Field pH,0,, 8.1,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Field Water Temperature,0,, 16.6,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0324B0056,03/19/2024 11:00,Field Turbidity,0,, 4.8,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Dissolved Bromide,24959-67-9,,0.208,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Dissolved Chloride,16887-00-6,,71.6,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Specific Conductance,0,,560,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Dissolved Nitrate,14797-55-8,,3.27,0.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Total Dissolved Solids,0,Y,318,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Total Dissolved Solids,0,,321,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Total Suspended Solids,0,Y,5.4,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Total Suspended Solids,0,,5.5,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Dissolved Sulfate,14808-79-8,,68.9,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Field Specific Conductance,0,, 542,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Field pH,0,, 8.1,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Field Water Temperature,0,, 17,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0324B0057,03/19/2024 12:25,Field Turbidity,0,, 7.6,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Dissolved Bromide,24959-67-9,,0.173,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Dissolved Chloride,16887-00-6,,59.3,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Specific Conductance,0,,436,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Dissolved Nitrate,14797-55-8,,3.3,0.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Total Dissolved Solids,0,,247,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Dissolved Sulfate,14808-79-8,,38.2,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,N
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Field Specific Conductance,0,, 430,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Field pH,0,, 8,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Field Water Temperature,0,, 15.7,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,
2040,"3000 - Public, Review Status Unknown",Gianelli WQ Station near Pumping Plant,Gianelli,ON003050,SL0324B0051,03/19/2024 13:00,Field Turbidity,0,, 4.9,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,Gianelli WQ Station 1/4 mile south of Pumping plant,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Specific Conductance,0,,406,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,N
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Specific Conductance,0,, 404,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Notes,0,,"Collected DO parameter in office a few hours later, probe not working in field.",,,Notes (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,"Collected DO parameter in office a few hours later, probe not working in field.",
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Dissolved Oxygen,0,, 9.6,,mg/L,ASTM Method D888-09-C (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Percent Cloud Cover,0,,N/A,,%,Weather Observations [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field pH,0,, 9,,pH Units,EPA 150.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Secchi Depth,0,, 5.5,,Meters,Secchi Depth [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Water Temperature,0,, 17.8,,°C,EPA 170.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Mid-Lake Silverwood,Mid-Lake Silverwood,SI005000,S0524B0172,05/14/2024 08:40,Field Turbidity,0,, 0.6,,N.T.U.,EPA 180.1 (Field) [D-2]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment Mid Silverwood Lake,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Specific Conductance,0,,407,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,N
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Specific Conductance,0,, 406,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Dissolved Oxygen,0,, 10.1,,mg/L,ASTM Method D888-09-C (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Percent Cloud Cover,0,,N/A,,%,Weather Observations [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field pH,0,, 8.9,,pH Units,EPA 150.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Secchi Depth,0,, 4.3,,Meters,Secchi Depth [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Water Temperature,0,, 18.1,,°C,EPA 170.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Silverwood Lake Stream Release @ Cedar Springs Dam,Silverwood Lk SR,SI001000,S0524B0173,05/14/2024 09:30,Field Turbidity,0,, 1.7,,N.T.U.,EPA 180.1 (Field) [D-2]*,.3 Meters,"Water, Natural",Normal Sample,0,Post Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Specific Conductance,0,,548,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,N
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Specific Conductance,0,, 544,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Dissolved Oxygen,0,, 13.1,,mg/L,ASTM Method D888-09-C (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Percent Cloud Cover,0,, 100,,%,Weather Observations [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field pH,0,, 9.6,,pH Units,EPA 150.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Secchi Depth,0,, 2.5,,Meters,Secchi Depth [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Water Temperature,0,, 21,,°C,EPA 170.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0168,06/09/2023 06:40,Field Turbidity,0,, 6,,N.T.U.,EPA 180.1 (Field) [D-2]*,.3 Meters,"Water, Natural",Normal Sample,0,Pre Treatment,,
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris Outlet,LkPerris@Outlet,PE002000,S0623B0169,06/09/2023 12:00,Specific Conductance,0,,556,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Event Treatment,,N
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0170,06/12/2023 08:05,Specific Conductance,0,,552,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post treatment,,N
2040,"1000 - Non-Public, Review Status Unknown",Lake Perris West of Alessandro Island,PE005000,PE005000,S0623B0170,06/12/2023 08:05,Field Specific Conductance,0,, 533,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,.3 Meters,"Water, Natural",Normal Sample,0,Post treatment,,
